route_id,source_city_id,destination_city_id,mode,submode,distance_km,duration_minutes,availability_status,cost_general,cost_sleeper,cost_ac3,cost_ac2,cost_ac1,cost_is_estimated,source_dataset,source_quality,raw_route_key
flight:agartala:hyderabad,city-agartala,city-hyderabad,flight,flight_standard,1508.49,141,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Hyderabad
flight:agartala:indore,city-agartala,city-indore,flight,flight_standard,1580.72,147,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Indore
flight:agartala:kadapa,city-agartala,city-kadapa,flight,flight_standard,1671.28,154,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Kadapa
flight:agartala:khajuraho,city-agartala,city-khajuraho,flight,flight_standard,1151.8,114,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Khajuraho
flight:agartala:kochi,city-agartala,city-kochi,flight,flight_standard,2193.37,194,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Kochi
flight:agartala:kolkata,city-agartala,city-kolkata,flight,flight_standard,318.34,49,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Kolkata
flight:agartala:kozhikode-calicut,city-agartala,city-kozhikode-calicut,flight,flight_standard,2150.63,190,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Kozhikode (Calicut)
flight:agartala:mangaluru-mangalore,city-agartala,city-mangaluru-mangalore,flight,flight_standard,2106.97,187,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Mangaluru (Mangalore)
flight:agartala:mumbai,city-agartala,city-mumbai,flight,flight_standard,1972.14,177,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Mumbai
flight:agartala:nashik,city-agartala,city-nashik,flight,flight_standard,1848.99,167,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Nashik
flight:agartala:prayagraj-allahabad,city-agartala,city-prayagraj-allahabad,flight,flight_standard,975.86,100,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Prayagraj (Allahabad)
flight:agartala:siliguri,city-agartala,city-siliguri,flight,flight_standard,427.24,58,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Siliguri
flight:agartala:vadodara,city-agartala,city-vadodara,flight,flight_standard,1850.74,167,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Vadodara
flight:agatti-island-lakshadweep:agartala,city-agatti-island-lakshadweep,city-agartala,flight,flight_standard,2485.45,360,available,,,,,,False,flight_csv,medium,Agatti Island (Lakshadweep)::Agartala
flight:agatti-island-lakshadweep:ahmedabad,city-agatti-island-lakshadweep,city-ahmedabad,flight,flight_standard,1361.56,360,available,,,,,,False,flight_csv,medium,Agatti Island (Lakshadweep)::Ahmedabad
flight:agatti-island-lakshadweep:amritsar,city-agatti-island-lakshadweep,city-amritsar,flight,flight_standard,2337.16,360,available,,,,,,False,flight_csv,medium,Agatti Island (Lakshadweep)::Amritsar
flight:agatti-island-lakshadweep:bathinda,city-agatti-island-lakshadweep,city-bathinda,flight,flight_standard,2169.49,360,unavailable,,,,,,False,flight_csv,medium,Agatti Island (Lakshadweep)::Bathinda
flight:agatti-island-lakshadweep:bengaluru,city-agatti-island-lakshadweep,city-bengaluru,flight,flight_standard,656.16,240,available,,,,,,False,flight_csv,medium,Agatti Island (Lakshadweep)::Bengaluru
flight:agatti-island-lakshadweep:bhopal,city-agatti-island-lakshadweep,city-bhopal,flight,flight_standard,1489.24,360,available,,,,,,False,flight_csv,medium,Agatti Island (Lakshadweep)::Bhopal
flight:agatti-island-lakshadweep:bhubaneswar,city-agatti-island-lakshadweep,city-bhubaneswar,flight,flight_standard,1796.07,360,available,,,,,,False,flight_csv,medium,Agatti Island (Lakshadweep)::Bhubaneswar
flight:agatti-island-lakshadweep:chandigarh,city-agatti-island-lakshadweep,city-chandigarh,flight,flight_standard,2257.66,199,unavailable,,,,,,False,flight_csv_sanitized,medium,Agatti Island (Lakshadweep)::Chandigarh
flight:agatti-island-lakshadweep:dabolim-vasco-da-gama,city-agatti-island-lakshadweep,city-dabolim-vasco-da-gama,flight,flight_standard,537.49,360,available,,,,,,False,flight_csv,medium,Agatti Island (Lakshadweep)::Dabolim (Vasco da Gama)
flight:agatti-island-lakshadweep:daporijo,city-agatti-island-lakshadweep,city-daporijo,flight,flight_standard,2928.36,360,available,,,,,,False,flight_csv,medium,Agatti Island (Lakshadweep)::Daporijo
flight:agatti-island-lakshadweep:delhi,city-agatti-island-lakshadweep,city-delhi,flight,flight_standard,2036.7,360,available,,,,,,False,flight_csv,medium,Agatti Island (Lakshadweep)::New Delhi
flight:agatti-island-lakshadweep:dharamshala-kangra,city-agatti-island-lakshadweep,city-dharamshala-kangra,flight,flight_standard,2423.95,360,available,,,,,,False,flight_csv,medium,Agatti Island (Lakshadweep)::Dharamshala / Kangra
flight:agatti-island-lakshadweep:dimapur,city-agatti-island-lakshadweep,city-dimapur,flight,flight_standard,2819.23,360,available,,,,,,False,flight_csv,medium,Agatti Island (Lakshadweep)::Dimapur
flight:agatti-island-lakshadweep:diu,city-agatti-island-lakshadweep,city-diu,flight,flight_standard,1107.71,360,available,,,,,,False,flight_csv,medium,Agatti Island (Lakshadweep)::Diu
flight:agatti-island-lakshadweep:gorakhpur,city-agatti-island-lakshadweep,city-gorakhpur,flight,flight_standard,2127.48,360,available,,,,,,False,flight_csv,medium,Agatti Island (Lakshadweep)::Gorakhpur
flight:agatti-island-lakshadweep:guna,city-agatti-island-lakshadweep,city-guna,flight,flight_standard,1631.43,240,available,,,,,,False,flight_csv,medium,Agatti Island (Lakshadweep)::Guna
flight:agatti-island-lakshadweep:guwahati,city-agatti-island-lakshadweep,city-guwahati,flight,flight_standard,2653.05,360,available,,,,,,False,flight_csv,medium,Agatti Island (Lakshadweep)::Guwahati
flight:agatti-island-lakshadweep:hubballi-hubli,city-agatti-island-lakshadweep,city-hubballi-hubli,flight,flight_standard,593.89,360,available,,,,,,False,flight_csv,medium,Agatti Island (Lakshadweep)::Hubballi (Hubli)
flight:agatti-island-lakshadweep:hyderabad,city-agatti-island-lakshadweep,city-hyderabad,flight,flight_standard,1000.76,240,available,,,,,,False,flight_csv,medium,Agatti Island (Lakshadweep)::Hyderabad
flight:agatti-island-lakshadweep:kolkata,city-agatti-island-lakshadweep,city-kolkata,flight,flight_standard,2169.98,360,available,,,,,,False,flight_csv,medium,Agatti Island (Lakshadweep)::Kolkata
flight:agatti-island-lakshadweep:mumbai,city-agatti-island-lakshadweep,city-mumbai,flight,flight_standard,922.22,240,available,,,,,,False,flight_csv,medium,Agatti Island (Lakshadweep)::Mumbai
flight:agatti-island-lakshadweep:nashik,city-agatti-island-lakshadweep,city-nashik,flight,flight_standard,1031.0,360,available,,,,,,False,flight_csv,medium,Agatti Island (Lakshadweep)::Nashik
flight:agatti-island-lakshadweep:siliguri,city-agatti-island-lakshadweep,city-siliguri,flight,flight_standard,2443.61,360,unavailable,,,,,,False,flight_csv,medium,Agatti Island (Lakshadweep)::Siliguri
flight:agatti-island-lakshadweep:vadodara,city-agatti-island-lakshadweep,city-vadodara,flight,flight_standard,1283.49,360,available,,,,,,False,flight_csv,medium,Agatti Island (Lakshadweep)::Vadodara
flight:agra:agartala,city-agra,city-agartala,flight,flight_standard,1380.47,360,unavailable,,,,,,False,flight_csv,medium,Agra::Agartala
flight:agra:agatti-island-lakshadweep,city-agra,city-agatti-island-lakshadweep,flight,flight_standard,1913.94,420,unavailable,,,,,,False,flight_csv,medium,Agra::Agatti Island (Lakshadweep)
flight:agra:ahmedabad,city-agra,city-ahmedabad,flight,flight_standard,704.065781679766,79,available,,,,,,False,flight_csv_with_xlsx_overlay_sanitized,high,Agra::Ahmedabad
flight:agra:aizawl,city-agra,city-aizawl,flight,flight_standard,1516.06,360,unavailable,,,,,,False,flight_csv,medium,Agra::Aizawl
flight:agra:allahabad,city-agra,city-allahabad,flight,flight_standard,421.874423336779,57,unknown,,,,,,False,flight_xlsx_sanitized,medium,Agra::Allahabad
flight:agra:amritsar,city-agra,city-amritsar,flight,flight_standard,590.825829345194,70,available,,,,,,False,flight_csv_with_xlsx_overlay_sanitized,high,Agra::Amritsar
flight:agra:aurangabad,city-agra,city-aurangabad,flight,flight_standard,851.886636745789,91,unknown,,,,,,False,flight_xlsx_sanitized,medium,Agra::Aurangabad
flight:agra:bengaluru,city-agra,city-bengaluru,flight,flight_standard,1552.44986489867,144,available,,,,,,False,flight_csv_with_xlsx_overlay_sanitized,high,Agra::Bengaluru
flight:agra:bhopal,city-agra,city-bhopal,flight,flight_standard,435.23,150,available,,,,,,False,flight_csv,medium,Agra::Bhopal
flight:agra:bhubaneswar,city-agra,city-bhubaneswar,flight,flight_standard,1108.03,240,available,,,,,,False,flight_csv,medium,Agra::Bhubaneswar
flight:agra:chandigarh,city-agra,city-chandigarh,flight,flight_standard,407.13668156096,56,available,,,,,,False,flight_csv_with_xlsx_overlay_sanitized,high,Agra::Chandigarh
flight:agra:chennai,city-agra,city-chennai,flight,flight_standard,1592.86135267222,148,unknown,,,,,,False,flight_xlsx_sanitized,medium,Agra::Chennai
flight:agra:coimbatore,city-agra,city-coimbatore,flight,flight_standard,1795.87664110985,163,unavailable,,,,,,False,flight_csv_with_xlsx_overlay_sanitized,high,Agra::Coimbatore
flight:agra:dabolim-vasco-da-gama,city-agra,city-dabolim-vasco-da-gama,flight,flight_standard,1376.79,240,available,,,,,,False,flight_csv,medium,Agra::Dabolim (Vasco da Gama)
flight:agra:dehradun,city-agra,city-dehradun,flight,flight_standard,351.26,90,available,,,,,,False,flight_csv,medium,Agra::Dehradun
flight:agra:delhi,city-agra,city-delhi,flight,flight_standard,177.067406337303,39,unavailable,,,,,,False,flight_csv_with_xlsx_overlay_sanitized,high,Agra::New Delhi
flight:agra:dharamshala-kangra,city-agra,city-dharamshala-kangra,flight,flight_standard,594.69,150,available,,,,,,False,flight_csv,medium,Agra::Dharamshala / Kangra
flight:agra:dibrugarh,city-agra,city-dibrugarh,flight,flight_standard,1684.27,360,unavailable,,,,,,False,flight_csv,medium,Agra::Dibrugarh
flight:agra:dimapur,city-agra,city-dimapur,flight,flight_standard,1578.39,360,unavailable,,,,,,False,flight_csv,medium,Agra::Dimapur
flight:agra:diu,city-agra,city-diu,flight,flight_standard,1012.37,300,unavailable,,,,,,False,flight_csv,medium,Agra::Diu
flight:agra:guwahati,city-agra,city-guwahati,flight,flight_standard,1358.76355360967,130,available,,,,,,False,flight_csv_with_xlsx_overlay_sanitized,high,Agra::Guwahati
flight:agra:gwalior,city-agra,city-gwalior,flight,flight_standard,99.7183086235325,33,unavailable,,,,,,False,flight_csv_with_xlsx_overlay_sanitized,high,Agra::Gwalior
flight:agra:hubballi-hubli,city-agra,city-hubballi-hubli,flight,flight_standard,1345.32,300,unavailable,,,,,,False,flight_csv,medium,Agra::Hubballi (Hubli)
flight:agra:hubli,city-agra,city-hubli,flight,flight_standard,1345.32409980105,128,unknown,,,,,,False,flight_xlsx_sanitized,medium,Agra::Hubli
flight:agra:hyderabad,city-agra,city-hyderabad,flight,flight_standard,1103.90419979124,110,available,,,,,,False,flight_csv_with_xlsx_overlay_sanitized,high,Agra::Hyderabad
flight:agra:indore,city-agra,city-indore,flight,flight_standard,538.24611224574,66,available,,,,,,False,flight_csv_with_xlsx_overlay_sanitized,high,Agra::Indore
flight:agra:jaipur,city-agra,city-jaipur,flight,flight_standard,217.409694149434,42,unknown,,,,,,False,flight_xlsx_sanitized,medium,Agra::Jaipur
flight:agra:jodhpur,city-agra,city-jodhpur,flight,flight_standard,497.918784064133,63,unknown,,,,,,False,flight_xlsx_sanitized,medium,Agra::Jodhpur
flight:agra:khajuraho,city-agra,city-khajuraho,flight,flight_standard,325.27,150,available,,,,,,False,flight_csv,medium,Agra::Khajuraho
flight:agra:kochi,city-agra,city-kochi,flight,flight_standard,1897.78,360,unavailable,,,,,,False,flight_csv,medium,Agra::Kochi
flight:agra:kolkata,city-agra,city-kolkata,flight,flight_standard,1169.102045145,115,available,,,,,,False,flight_csv_with_xlsx_overlay_sanitized,high,Agra::Kolkata
flight:agra:kozhikode-calicut,city-agra,city-kozhikode-calicut,flight,flight_standard,1793.52,360,unavailable,,,,,,False,flight_csv,medium,Agra::Kozhikode (Calicut)
flight:agra:lucknow,city-agra,city-lucknow,flight,flight_standard,292.829117211863,48,unknown,,,,,,False,flight_xlsx_sanitized,medium,Agra::Lucknow
flight:agra:madurai,city-agra,city-madurai,flight,flight_standard,1926.03904479488,173,unknown,,,,,,False,flight_xlsx_sanitized,medium,Agra::Madurai
flight:agra:mangaluru-mangalore,city-agra,city-mangaluru-mangalore,flight,flight_standard,1610.46,360,unavailable,,,,,,False,flight_csv,medium,Agra::Mangaluru (Mangalore)
flight:agra:mumbai,city-agra,city-mumbai,flight,flight_standard,1036.22331057123,105,available,,,,,,False,flight_csv_with_xlsx_overlay_sanitized,high,Agra::Mumbai
flight:agra:mysore,city-agra,city-mysore,flight,flight_standard,1657.83079324799,153,unknown,,,,,,False,flight_xlsx_sanitized,medium,Agra::Mysore
flight:agra:nagpur,city-agra,city-nagpur,flight,flight_standard,683.816068540247,78,unknown,,,,,,False,flight_xlsx_sanitized,medium,Agra::Nagpur
flight:agra:patna,city-agra,city-patna,flight,flight_standard,730.918765305356,81,unknown,,,,,,False,flight_xlsx_sanitized,medium,Agra::Patna
flight:agra:prayagraj-allahabad,city-agra,city-prayagraj-allahabad,flight,flight_standard,421.87,150,available,,,,,,False,flight_csv,medium,Agra::Prayagraj (Allahabad)
flight:agra:pune,city-agra,city-pune,flight,flight_standard,1039.50880871705,105,unknown,,,,,,False,flight_xlsx_sanitized,medium,Agra::Pune
flight:agra:raipur,city-agra,city-raipur,flight,flight_standard,766.694363347798,84,unknown,,,,,,False,flight_xlsx_sanitized,medium,Agra::Raipur
flight:agra:rajkot,city-agra,city-rajkot,flight,flight_standard,903.356533610122,94,unknown,,,,,,False,flight_xlsx_sanitized,medium,Agra::Rajkot
flight:agra:ranchi,city-agra,city-ranchi,flight,flight_standard,854.323192162678,91,unknown,,,,,,False,flight_xlsx_sanitized,medium,Agra::Ranchi
flight:agra:siliguri,city-agra,city-siliguri,flight,flight_standard,1028.39,240,available,,,,,,False,flight_csv,medium,Agra::Siliguri
flight:agra:srinagar,city-agra,city-srinagar,flight,flight_standard,820.218601815009,88,unknown,,,,,,False,flight_xlsx_sanitized,medium,Agra::Srinagar
flight:agra:tiruchirappalli,city-agra,city-tiruchirappalli,flight,flight_standard,1824.83494720841,165,unknown,,,,,,False,flight_xlsx_sanitized,medium,Agra::Tiruchirappalli
flight:agra:vadodara,city-agra,city-vadodara,flight,flight_standard,719.67,240,available,,,,,,False,flight_csv,medium,Agra::Vadodara
flight:agra:varanasi,city-agra,city-varanasi,flight,flight_standard,523.19200907425,65,unknown,,,,,,False,flight_xlsx_sanitized,medium,Agra::Varanasi
flight:agra:vijayawada,city-agra,city-vijayawada,flight,flight_standard,1217.39626163788,119,unknown,,,,,,False,flight_xlsx_sanitized,medium,Agra::Vijayawada
flight:ahmedabad:agartala,city-ahmedabad,city-agartala,flight,flight_standard,1899.92,171,available,,,,,,False,flight_csv_sanitized,medium,Ahmedabad::Agartala
flight:ahmedabad:agatti-island-lakshadweep,city-ahmedabad,city-agatti-island-lakshadweep,flight,flight_standard,1361.56,130,available,,,,,,False,flight_csv_sanitized,medium,Ahmedabad::Agatti Island (Lakshadweep)
flight:ahmedabad:agra,city-ahmedabad,city-agra,flight,flight_standard,704.065781679766,79,unavailable,,,,,,False,flight_csv_with_xlsx_overlay_sanitized,high,Ahmedabad::Agra
flight:ahmedabad:aizawl,city-ahmedabad,city-aizawl,flight,flight_standard,2040.37,182,available,,,,,,False,flight_csv_sanitized,medium,Ahmedabad::Aizawl
flight:ahmedabad:akola,city-ahmedabad,city-akola,flight,flight_standard,531.88,66,available,,,,,,False,flight_csv_sanitized,medium,Ahmedabad::Akola
flight:ahmedabad:allahabad,city-ahmedabad,city-allahabad,flight,flight_standard,960.472758171006,99,unknown,,,,,,False,flight_xlsx_sanitized,medium,Ahmedabad::Allahabad
flight:ahmedabad:amritsar,city-ahmedabad,city-amritsar,flight,flight_standard,984.563713011791,101,available,,,,,,False,flight_csv_with_xlsx_overlay_sanitized,high,Ahmedabad::Amritsar
flight:ahmedabad:aurangabad,city-ahmedabad,city-aurangabad,flight,flight_standard,457.073662406786,60,unknown,,,,,,False,flight_xlsx_sanitized,medium,Ahmedabad::Aurangabad
flight:ahmedabad:bathinda,city-ahmedabad,city-bathinda,flight,flight_standard,823.07,88,available,,,,,,False,flight_csv_sanitized,medium,Ahmedabad::Bathinda
flight:ahmedabad:belagavi-belgaum,city-ahmedabad,city-belagavi-belgaum,flight,flight_standard,828.24,100,available,,,,,,False,flight_csv,medium,Ahmedabad::Belagavi (Belgaum)
flight:ahmedabad:bellary,city-ahmedabad,city-bellary,flight,flight_standard,984.73,101,available,,,,,,False,flight_csv_sanitized,medium,Ahmedabad::Bellary
flight:ahmedabad:bengaluru,city-ahmedabad,city-bengaluru,flight,flight_standard,1221.16869740155,119,available,,,,,,False,flight_csv_with_xlsx_overlay_sanitized,high,Ahmedabad::Bengaluru
flight:ahmedabad:bhavnagar,city-ahmedabad,city-bhavnagar,flight,flight_standard,152.67,37,unavailable,,,,,,False,flight_csv_sanitized,medium,Ahmedabad::Bhavnagar
flight:ahmedabad:bhopal,city-ahmedabad,city-bhopal,flight,flight_standard,482.83,62,available,,,,,,False,flight_csv_sanitized,medium,Ahmedabad::Bhopal
flight:ahmedabad:bhubaneswar,city-ahmedabad,city-bhubaneswar,flight,flight_standard,1398.27,133,available,,,,,,False,flight_csv_sanitized,medium,Ahmedabad::Bhubaneswar
flight:ahmedabad:bhuj,city-ahmedabad,city-bhuj,flight,flight_standard,302.91,48,available,,,,,,False,flight_csv_sanitized,medium,Ahmedabad::Bhuj
flight:ahmedabad:bikaner,city-ahmedabad,city-bikaner,flight,flight_standard,554.6,68,available,,,,,,False,flight_csv_sanitized,medium,Ahmedabad::Bikaner
flight:ahmedabad:chandigarh,city-ahmedabad,city-chandigarh,flight,flight_standard,941.620711863678,97,available,,,,,,False,flight_csv_with_xlsx_overlay_sanitized,high,Ahmedabad::Chandigarh
flight:ahmedabad:chennai,city-ahmedabad,city-chennai,flight,flight_standard,1375.00331481482,131,unknown,,,,,,False,flight_xlsx_sanitized,medium,Ahmedabad::Chennai
flight:ahmedabad:coimbatore,city-ahmedabad,city-coimbatore,flight,flight_standard,1417.81121941934,134,available,,,,,,False,flight_csv_with_xlsx_overlay_sanitized,high,Ahmedabad::Coimbatore
flight:ahmedabad:cooch-behar,city-ahmedabad,city-cooch-behar,flight,flight_standard,1738.38,175,available,,,,,,False,flight_csv,medium,Ahmedabad::Cooch Behar
flight:ahmedabad:dabolim-vasco-da-gama,city-ahmedabad,city-dabolim-vasco-da-gama,flight,flight_standard,863.65,110,available,,,,,,False,flight_csv,medium,Ahmedabad::Dabolim (Vasco da Gama)
flight:ahmedabad:dehradun,city-ahmedabad,city-dehradun,flight,flight_standard,968.51,100,available,,,,,,False,flight_csv_sanitized,medium,Ahmedabad::Dehradun
flight:ahmedabad:delhi,city-ahmedabad,city-delhi,flight,flight_standard,757.106357190244,83,available,,,,,,False,flight_csv_with_xlsx_overlay_sanitized,high,Ahmedabad::New Delhi
flight:ahmedabad:dhanbad,city-ahmedabad,city-dhanbad,flight,flight_standard,1412.35,155,available,,,,,,False,flight_csv,medium,Ahmedabad::Dhanbad
flight:ahmedabad:diu,city-ahmedabad,city-diu,flight,flight_standard,315.11,50,available,,,,,,False,flight_csv,medium,Ahmedabad::Diu
flight:ahmedabad:gaya,city-ahmedabad,city-gaya,flight,flight_standard,1265.96,130,available,,,,,,False,flight_csv,medium,Ahmedabad::Gaya
flight:ahmedabad:gorakhpur,city-ahmedabad,city-gorakhpur,flight,flight_standard,1164.85,115,available,,,,,,False,flight_csv_sanitized,medium,Ahmedabad::Gorakhpur
flight:ahmedabad:guna,city-ahmedabad,city-guna,flight,flight_standard,509.22,64,available,,,,,,False,flight_csv_sanitized,medium,Ahmedabad::Guna
flight:ahmedabad:guwahati,city-ahmedabad,city-guwahati,flight,flight_standard,1945.27421536404,175,available,,,,,,False,flight_csv_with_xlsx_overlay_sanitized,high,Ahmedabad::Guwahati
flight:ahmedabad:gwalior,city-ahmedabad,city-gwalior,flight,flight_standard,670.388778642731,77,available,,,,,,False,flight_csv_with_xlsx_overlay_sanitized,high,Ahmedabad::Gwalior
flight:ahmedabad:hisar,city-ahmedabad,city-hisar,flight,flight_standard,748.66,90,available,,,,,,False,flight_csv,medium,Ahmedabad::Hisar
flight:ahmedabad:hubballi-hubli,city-ahmedabad,city-hubballi-hubli,flight,flight_standard,895.11,115,available,,,,,,False,flight_csv,medium,Ahmedabad::Hubballi (Hubli)
flight:ahmedabad:hubli,city-ahmedabad,city-hubli,flight,flight_standard,895.111147619757,94,unknown,,,,,,False,flight_xlsx_sanitized,medium,Ahmedabad::Hubli
flight:ahmedabad:hyderabad,city-ahmedabad,city-hyderabad,flight,flight_standard,886.736575994024,93,available,,,,,,False,flight_csv_with_xlsx_overlay_sanitized,high,Ahmedabad::Hyderabad
flight:ahmedabad:indore,city-ahmedabad,city-indore,flight,flight_standard,328.423965779662,50,available,,,,,,False,flight_csv_with_xlsx_overlay_sanitized,high,Ahmedabad::Indore
flight:ahmedabad:jaipur,city-ahmedabad,city-jaipur,flight,flight_standard,526.154006593531,65,unknown,,,,,,False,flight_xlsx_sanitized,medium,Ahmedabad::Jaipur
flight:ahmedabad:jodhpur,city-ahmedabad,city-jodhpur,flight,flight_standard,358.152154204581,53,unknown,,,,,,False,flight_xlsx_sanitized,medium,Ahmedabad::Jodhpur
flight:ahmedabad:kadapa,city-ahmedabad,city-kadapa,flight,flight_standard,1150.25,113,available,,,,,,False,flight_csv_sanitized,medium,Ahmedabad::Kadapa
flight:ahmedabad:khajuraho,city-ahmedabad,city-khajuraho,flight,flight_standard,766.15,90,available,,,,,,False,flight_csv,medium,Ahmedabad::Khajuraho
flight:ahmedabad:kochi,city-ahmedabad,city-kochi,flight,flight_standard,1490.36,150,available,,,,,,False,flight_csv,medium,Ahmedabad::Kochi
